,time,ch1,ch2,ch3,ch4,ch5,ch6,tag,ID,Repeticion
36560,0,-226.64662082085852,9.724714876886992,-408.9882188747506,-157.0227304180703,-1030.2659056886332,159.49505968531685,2,2,17
36561,4,260.8221291791415,582.041121126887,-294.1444688747506,467.1498770038047,1131.7184693113668,-249.18413953343315,2,2,17
36562,7,265.9861916791415,188.136335970637,-131.0438829372506,287.1957754413047,2106.780969311367,-160.31353406468315,2,2,17
36563,11,-345.8028708208585,-499.894914029363,-244.3222032497506,-519.5232186993203,-571.9377806886332,348.16620226344185,2,2,17
36564,15,-289.4552145708585,-96.89296090436301,-422.1532579372506,-251.1460214336953,-1204.3752806886332,204.28802843531685,2,2,17
36565,19,179.70884792914148,506.894636751887,-345.5761094997506,355.8827871600547,680.4372193113668,-185.39214734593315,2,2,17
36566,23,337.1307229291415,348.085554720637,-156.0556016872506,401.4804434100547,2267.546594311367,-234.78960828343315,2,2,17
36567,27,-261.4708395708585,-475.397599576238,-198.7694688747506,-459.0617929180703,-138.0159056886332,290.81171007594185,2,2,17
36568,31,-351.7286520708585,-188.624650357488,-417.9286485622506,-346.2302499493203,-1317.7190306886332,258.55804796656685,2,2,17
36569,35,100.67369167914148,425.131941439387,-365.1337266872506,252.9528555194297,245.7965943113668,-115.76665906468315,2,2,17
36570,34,383.8924416791415,495.271589876887,-172.1044298122506,494.5082754413047,2282.202844311367,-286.48907117405815,2,2,17
36571,38,-163.92787082085852,-404.207169888738,-162.6493516872506,-350.3430429180703,369.4528443113668,213.31805773219185,2,2,17
36572,42,-400.9005270708585,-283.776017544988,-390.8827501247506,-436.8664804180703,-1373.3596556886332,301.71942491969185,2,2,17
36573,46,2.392441679141484,301.839705111262,-388.2450548122506,148.1457266131797,-164.6252806886332,-41.469295783433154,2,2,17
36574,50,385.6775979291415,567.177351595637,-212.4042344997506,546.4311270038047,2161.015344311367,-322.65435437718315,2,2,17
36575,54,-44.814589570858516,-284.714738248113,-155.3622423122506,-208.5434823711953,891.8122193113668,129.02972765406685,2,2,17
36576,58,-431.9474020708585,-369.852677701238,-360.5516954372506,-503.9665780743203,-1320.5159056886332,342.17596788844185,2,2,17
36577,62,-81.92005832085852,199.423933626887,-395.5321641872506,44.545384816304704,-516.8127806886332,31.821963982191846,2,2,17
36578,66,369.8533791791415,620.843855501887,-227.5585313747506,534.6518301288047,1872.4997193113668,-306.24810437718315,2,2,17
36579,70,71.65806667914148,-148.927873013738,-116.1356798122506,-83.1054940899453,1364.9528443113668,41.634463982191846,2,2,17
36580,61,-423.6544333208585,-433.666886685613,-316.2948594997506,-514.8293710430703,-1174.5784056886332,343.02533312281685,2,2,17
36581,65,-160.43958957085852,97.18711722063699,-407.9823594997506,-30.959009714945296,-801.0471556886332,61.281680779066846,2,2,17
36582,69,325.8650979291415,627.415144564387,-264.5956407497506,513.3505605975547,1520.4997193113668,-279.02373914280815,2,2,17
36583,73,179.48619167914148,23.359236361261992,-119.8681016872506,116.0038809100547,1799.0465943113668,-55.394588752183154,2,2,17
