,time,ch1,ch2,ch3,ch4,ch5,ch6,tag,ID,Repeticion
25000,0,-415.66818706337654,-496.1078509484937,-482.93078491454617,-267.83075937967806,-1910.7305389221583,201.29349650308723,3,2,13
25001,3,9.886500436623464,102.6282330358813,-376.46984741454617,381.44267812032194,274.7382110778417,-173.25484334066277,3,2,13
25002,7,218.31618793662346,51.621641239006294,-139.85363647704617,454.75615468282194,2316.9413360778417,-292.8590913875378,3,2,13
25003,11,-313.81271831337654,-806.0371722375562,-196.20226928954617,-490.00727305155306,-462.9024139221583,191.70462931558723,3,2,13
25004,16,-463.76974956337654,-597.0484027063062,-466.90441772704617,-412.06659922342806,-2029.3711639221583,235.29056681558723,3,2,13
25005,19,-74.00021831337654,-1.4860247766187058,-415.83117553954617,218.87846913594694,-249.4961639221583,-101.52828084066277,3,2,13
25006,23,246.07790668662346,172.4551373327563,-164.37414428954617,507.23808827657194,2261.1757110778417,-323.5927339656628,3,2,13
25007,27,-208.10959331337654,-705.9237689172437,-125.70519897704617,-317.09418711405306,149.5819610778417,115.57425822183723,3,2,13
25008,31,-495.50803081337654,-684.2872943078687,-437.06457397704617,-452.83613047342806,-2054.2774139221583,262.2016996280872,3,2,13
25009,35,-156.72287456337654,-110.2943743859937,-455.10265991454617,141.22856679219694,-713.1211639221583,-45.983847246912774,3,2,13
25010,28,231.28103168662346,231.7766705358813,-228.14367553954617,556.032033589072,2066.8475860778417,-336.3107515437878,3,2,13
25011,32,-105.11349956337654,-586.9900530969312,-110.97570678954617,-183.05073008280306,787.3944610778417,25.273476971837226,3,2,13
25012,36,-503.08615581337654,-758.3832415734937,-395.96008178954617,-557.665964457803,-1971.4180389221583,276.3950590030872,3,2,13
25013,40,-224.80490581337654,-210.8773821984937,-456.89074585204617,17.779836323446943,-1132.3711639221583,20.378457440587226,3,2,13
25014,44,213.60134418662346,270.9815045202563,-255.27844116454617,557.887502339072,1711.4413360778417,-325.4701753719128,3,2,13
25015,48,4.566187936623464,-427.1752337609937,-106.57238647704617,-35.12690195780306,1371.7850860778417,-63.642050371912774,3,2,13
25016,52,-491.01584331337654,-822.0187396203687,-361.42687866454617,-616.428659770303,-1770.8086639221583,289.9404691593372,3,2,13
25017,56,-303.23849956337654,-324.7594622766187,-488.89855835204617,-94.20258555155306,-1494.1367889221583,88.05960978433723,3,2,13
25018,60,149.24978168662346,238.9514752233813,-299.69152710204617,514.279103901572,1240.6444610778417,-275.6034761531628,3,2,13
25019,64,112.32400043662346,-235.7995013391187,-98.79406616454617,127.70561757344694,1847.6757110778417,-139.01192341878777,3,2,13
25020,67,-459.52365581337654,-859.5025042688062,-297.00890991454617,-586.410349223428,-1415.6211639221583,274.2270902530872,3,2,13
25021,71,-398.34396831337654,-449.5269183313062,-525.5333239770462,-188.23627695780306,-1751.1992889221583,95.88236369058723,3,2,13
25022,75,98.35525043662346,186.4026470983813,-323.29504272704617,461.34990468282194,713.6757110778417,-258.3031831844128,3,2,13
25023,79,194.37868793662346,-54.549257198493706,-70.47375366454617,320.66826405782194,2182.8163360778417,-224.68623982503777,3,2,13
25024,83,-378.14084331337654,-838.3355120813062,-221.21398803954617,-583.504587504678,-952.2617889221583,255.36234415933723,3,2,13
25025,87,-438.64474956337654,-532.5188616906812,-483.69055053954617,-303.81708750467806,-1932.2305389221583,176.41605509683723,3,2,13
25026,91,-3.6603745633765357,86.1104107702563,-378.50305053954617,343.82475819844694,183.0194610778417,-159.62032185628777,3,2,13
25027,95,237.58571918662346,84.5903912390063,-129.48254272704617,476.54912343282194,2307.1600860778417,-273.3012300594128,3,2,13
25028,99,-298.00803081337654,-788.8263568078687,-173.42590210204617,-466.33661875467806,-382.1992889221583,185.35648478433723,3,2,13
25029,103,-463.45724956337654,-607.1737689172437,-459.41711303954617,-408.73627695780306,-2048.8242889221583,229.68021525308723,3,2,13
25030,155,-78.53537456337654,-13.801942745368706,-405.92883178954617,232.66948476094694,-320.2617889221583,-101.90816365316277,3,2,13
25031,159,243.35134418662346,178.7358990515063,-162.13879272704617,518.257619526572,2252.5507110778417,-320.5529390437878,3,2,13
25032,163,-197.76193706337654,-691.8197650109937,-120.85461303954617,-327.53241953592806,246.8163360778417,110.88041056558723,3,2,13
25033,167,-501.11740581337654,-702.0344866906812,-427.09582397704617,-501.29487070780306,-2060.4024139221583,265.5771879093372,3,2,13
25034,171,-172.81662456337654,-138.5023821984937,-458.50012085204617,126.61040272969694,-787.9336639221583,-40.597128496912774,3,2,13
25035,175,238.83571918662346,245.7463970983813,-209.41223022704617,581.178029682822,2019.9413360778417,-329.7616792781628,3,2,13
25036,179,-72.21115581337654,-544.0747698938062,-81.38195678954617,-177.39570078592806,871.2850860778417,17.159707440587226,3,2,13
25037,183,-497.98849956337654,-770.4531878625562,-424.36926147704617,-598.033151957803,-1967.4649139221583,292.6450590030872,3,2,13
25038,187,-262.42599956337654,-257.2794818078687,-507.76379272704617,-16.060739848428057,-1196.8555389221583,22.255898846837226,3,2,13
25039,191,185.95290668662346,262.5549908483813,-238.49230835204617,570.158498432822,1646.6132110778417,-330.2311617000378,3,2,13
25040,186,35.031031686623464,-381.3317279016187,-59.566527102046166,-7.433054301553057,1444.3788360778417,-88.27339802816277,3,2,13
25041,190,-493.40646831337654,-825.7290667688062,-332.50402710204617,-635.606394145303,-1762.4492889221583,305.7432035343372,3,2,13
25042,194,-315.46506206337654,-339.4669818078687,-462.29992553954617,-84.23359141092806,-1513.4336639221583,92.06058634683723,3,2,13
25043,198,140.51150043662346,231.7991314733813,-303.31262085204617,543.381154682822,1175.5975860778417,-268.2274995906628,3,2,13
25044,202,115.81228168662346,-220.6674212609937,-71.56945678954617,217.62676015157194,1910.0038360778417,-178.30635701253777,3,2,13
25045,206,-453.50803081337654,-864.2858294641187,-280.11144897704617,-608.337351176553,-1385.4649139221583,240.96781290933723,3,2,13
25046,210,-376.41818706337654,-430.5502337609937,-459.86340210204617,-214.76777109842806,-1765.6367889221583,154.93558634683723,3,2,13
25047,214,77.83571918662346,179.1607037390063,-329.48644897704617,427.19658437032194,645.2538360778417,-211.49873982503777,3,2,13
25048,218,204.37087543662346,-30.655214229743706,-76.21887085204617,343.31059804219694,2212.0507110778417,-235.41499959066277,3,2,13
25049,222,-372.61740581337654,-831.7193011438062,-213.21203491454617,-545.193552348428,-878.4180389221583,249.39408244058723,3,2,13
25050,221,-429.68381206337654,-526.9979876672437,-478.75109741454617,-349.23578867655306,-1971.3399139221583,208.96000040933723,3,2,13
25051,225,-5.625218313376536,77.2813092077563,-386.05871460204617,282.37968983907194,100.3632110778417,-150.70186482503777,3,2,13
25052,229,238.47634418662346,105.6011334265063,-118.28430053954617,474.13554921407194,2313.9569610778417,-296.9269624812878,3,2,13
25053,233,-291.92990581337654,-782.6126116906812,-159.97082397704617,-428.02582773905306,-285.0586639221583,158.73539103433723,3,2,13
25054,237,-471.72678081337654,-621.2999896203687,-446.49719116454617,-416.00043711405306,-2063.4180389221583,224.80716837808723,3,2,13
25055,241,-98.14084331337654,-31.817567745368706,-431.03039428954617,179.96391835469694,-410.2149139221583,-73.96822224691277,3,2,13
25056,245,244.62478168662346,201.6240826452563,-183.59582397704617,551.293752339072,2228.2538360778417,-322.5644136531628,3,2,13
25057,249,-171.09396831337654,-664.7294329797437,-124.07336303954617,-286.11445078592806,350.0975860778417,89.89212931558723,3,2,13
25058,253,-508.94162456337654,-712.2940081750562,-426.93957397704617,-517.700876567178,-2058.0430389221583,263.9228910343372,3,2,13
25059,257,-201.04709331337654,-160.8092669641187,-454.54406616454617,92.09941640157194,-855.0586639221583,-46.587362871912774,3,2,13
25060,268,251.98025043662346,270.8027935827563,-202.68469116454617,576.729787495322,1948.8163360778417,-324.9784761531628,3,2,13
25061,272,-49.168187063376536,-515.8220843469312,-68.52941772704617,-126.50068125467806,976.1757110778417,16.846719159337226,3,2,13
25062,276,-513.6564683133765,-788.0440081750562,-348.84289428954617,-578.609567973428,-1932.6367889221583,298.8589261905872,3,2,13
25063,280,-253.35178081337654,-253.6137103234937,-461.11535522704617,-20.084177348428057,-1248.7305389221583,45.077187909337226,3,2,13
25064,284,199.47243793662346,265.8184185827563,-256.84289428954617,554.445119526572,1573.0194610778417,-298.3129488094128,3,2,13
25065,288,44.175562936623464,-351.9616107141187,-50.223753664546166,53.63188710469694,1534.8632110778417,-85.41255818441277,3,2,13
25066,292,-469.40256206337654,-817.3919085656812,-305.36828491454617,-613.768747660928,-1685.3086639221583,287.3476957218372,3,2,13
25067,296,-336.85568706337654,-355.5377825891187,-464.53527710204617,-154.52973398905306,-1586.5899139221583,101.44828165933723,3,2,13
25068,300,122.29275043662346,226.4793072546313,-293.72375366454617,489.73662343282194,1072.8475860778417,-257.0292574031628,3,2,13
25069,304,125.93728168662346,-187.4525775109937,-77.60461303954617,229.80840077657194,1963.3163360778417,-189.86226521566277,3,2,13
25070,297,-434.73459331337654,-848.6172503625562,-249.19836303954617,-586.052683207803,-1302.4961639221583,262.5146879093372,3,2,13
25071,301,-393.29318706337654,-455.1818255578687,-473.65441772704617,-223.82026133280306,-1823.9649139221583,146.15140665933723,3,2,13
25072,305,57.116969186623464,155.9819928015063,-360.75598022704617,408.55522694844694,550.1288360778417,-212.43746052816277,3,2,13
25073,309,191.24978168662346,-19.143983760993706,-101.96789428954617,350.37383046407194,2224.1913360778417,-238.96895466878777,3,2,13
25074,313,-373.53537456337654,-836.7261370813062,-201.65637085204617,-540.477487895303,-794.2617889221583,230.32816447183723,3,2,13
25075,317,-464.77365581337654,-558.4916400109937,-473.31945678954617,-327.84516367655306,-1980.6524139221583,187.39066447183723,3,2,13
25076,321,-20.066624563376536,61.478818973381294,-385.94640991454617,280.50224843282194,27.910086077841697,-161.34126912191277,3,2,13
25077,325,238.14431293662346,116.0169049108813,-150.06848022704617,403.07915272969694,2268.8632110778417,-315.2555757625378,3,2,13
25078,329,-265.71115581337654,-749.5319232141187,-134.10949585204617,-468.77289805155306,-217.2461639221583,184.66361369058723,3,2,13
25079,333,-480.84396831337654,-626.9326800500564,-414.95910522704617,-384.46210703592806,-2058.6992889221583,252.32230509683723,3,2,13
25080,329,-111.46115581337654,-49.989442745368706,-404.31945678954617,226.50029530782194,-460.1211639221583,-79.06441365316277,3,2,13
25081,333,241.65212543662346,208.1956158483813,-156.61730835204617,576.864064839072,2205.6132110778417,-337.5402437312878,3,2,13
25082,337,-168.36740581337654,-656.3027972375564,-101.09582397704617,-271.40717539530306,454.1132110778417,72.77103556558723,3,2,13
25083,341,-498.45724956337654,-710.6846331750562,-384.65051147704617,-526.373483989053,-2059.3867889221583,268.4604886905872,3,2,13
25084,345,-184.14865581337654,-153.2099017297437,-436.23840210204617,65.67949452657194,-927.5899139221583,-13.506796465662774,3,2,13
25085,349,238.63259418662346,272.6355572546313,-213.72668335204617,593.314748432822,1933.0819610778417,-328.5546480281628,3,2,13
25086,353,-42.418187063376536,-494.1409320031812,-82.96887085204617,-105.91474375467806,1067.9257110778417,-3.4931245906627737,3,2,13
25087,357,-519.7814683133765,-795.5319232141187,-351.74816772704617,-592.557077739053,-1903.2149139221583,294.4556058780872,3,2,13
25088,361,-284.62131206337654,-278.5807513391187,-446.36340210204617,-37.47382578592806,-1297.9961639221583,54.666055096837226,3,2,13
25089,365,171.51150043662346,255.2012310827563,-262.96691772704617,541.369435932822,1505.0819610778417,-295.6977144344128,3,2,13
25090,361,59.620875436623464,-330.0568255578687,-51.720823977046166,67.04301991719694,1599.2382110778417,-97.34810505941277,3,2,13
25091,365,-480.21896831337654,-837.6425189172437,-317.19250366454617,-609.834909770303,-1627.9961639221583,275.6797269718372,3,2,13
25092,369,-339.58224956337654,-366.9818743859937,-494.17394897704617,-160.58710703592806,-1594.4492889221583,92.90970744058723,3,2,13
25093,373,128.79665668662346,224.6465435827563,-294.19250366454617,483.38896718282194,1004.8944610778417,-253.60933552816277,3,2,13
25094,377,154.43728168662346,-154.6403216516187,-53.710081789546166,239.01738515157194,2016.2069610778417,-180.85445271566277,3,2,13
25095,381,-431.46896831337654,-849.5784320031812,-231.02648803954617,-592.310983989053,-1235.3555389221583,251.09281290933723,3,2,13
25096,385,-402.57053081337654,-472.5714739953687,-472.82824585204617,-281.33124766092806,-1874.1992889221583,156.85794962808723,3,2,13
25097,389,50.386500436623464,157.1887799108813,-325.37316772704617,398.65337147969694,492.8475860778417,-198.98164998128777,3,2,13
25098,393,213.95681293662346,14.875303348381294,-81.40441772704617,412.53398671407194,2270.3007110778417,-246.92623005941277,3,2,13
25099,397,-352.57053081337654,-821.4152239953687,-172.73351928954617,-508.55903086405306,-704.7149139221583,221.81205119058723,3,2,13
25100,412,-450.82834331337654,-558.7374896203687,-446.85461303954617,-356.32148203592806,-2006.5117889221583,203.57328165933723,3,2,13
25101,416,-36.383030813376536,48.849912723381294,-382.10168335204617,284.10088124532194,-57.2149139221583,-139.05660115316277,3,2,13
25102,420,239.32790668662346,139.9334088171313,-123.67101928954617,498.25273671407194,2310.0663360778417,-309.2204195125378,3,2,13
25103,424,-249.57053081337654,-747.9450091516187,-126.82238647704617,-422.43793711405306,-107.6524139221583,148.20804728433723,3,2,13
25104,428,-484.30881206337654,-646.8034075891187,-437.06457397704617,-456.16669687967806,-2097.6992889221583,244.65580119058723,3,2,13
25105,432,-114.34396831337654,-53.789247432868706,-409.75109741454617,167.96123280782194,-547.5117889221583,-77.74605427816277,3,2,13
25106,436,248.26931293662346,229.4744244421313,-155.16515991454617,533.926076557822,2172.0350860778417,-318.7423921687878,3,2,13
25107,440,-132.58224956337654,-623.8257464563062,-75.50305053954617,-267.85322031717806,523.1757110778417,77.19632853433723,3,2,13
25108,444,-489.29318706337654,-715.9819964563062,-383.15246460204617,-509.31904062967806,-2032.0274139221583,269.5776761905872,3,2,13
25109,448,-208.06662456337654,-175.8519915734937,-430.26965210204617,65.25493397969694,-975.3086639221583,-9.975546465662774,3,2,13
25110,445,216.30446918662346,260.7669049108813,-204.09289428954617,564.413869526572,1867.1132110778417,-314.5849214656628,3,2,13
25111,449,-30.258030813376536,-474.7172259484937,-46.446409914546166,-86.42402109842806,1145.9413360778417,-12.009237871912774,3,2,13
25112,453,-494.30099956337654,-789.0275286828687,-325.41808960204617,-583.303415629678,-1873.9180389221583,283.0337308780872,3,2,13
25113,457,-274.38303081337654,-275.1832904016187,-434.94152710204617,-39.86542734842806,-1351.4180389221583,52.698769940587226,3,2,13
25114,461,181.14431293662346,268.2546978796313,-248.10363647704617,516.938771870322,1431.3007110778417,-285.7958589656628,3,2,13
25115,465,74.41775043662346,-299.2338275109937,-41.037230227046166,94.44634022969694,1667.7850860778417,-100.45503865316277,3,2,13
25116,469,-465.22287456337654,-829.8641986047437,-264.66613647704617,-603.196482035928,-1595.5274139221583,287.9512113468372,3,2,13
25117,473,-340.65646831337654,-375.3190325891187,-437.75793335204617,-165.05756602030306,-1669.7774139221583,113.96488322183723,3,2,13
25118,477,113.89040668662346,212.7329693640063,-293.83508178954617,466.89336171407194,913.3163360778417,-248.24483357503777,3,2,13
25119,481,156.73806293662346,-131.7968157922437,-58.850706789546166,252.09306874532194,2038.5507110778417,-195.78536091878777,3,2,13
25120,474,-416.18381206337654,-843.9234027063062,-214.15148803954617,-616.741648051553,-1212.8399139221583,254.96000040933723,3,2,13
25121,478,-408.91818706337654,-477.1759661828687,-449.78332397704617,-259.71723398905306,-1913.1055389221583,157.43900431558723,3,2,13
25122,482,34.652125436623464,137.7429791296313,-341.89172241454617,381.82256093282194,383.7225860778417,-193.50557576253777,3,2,13
25123,486,215.85915668662346,29.403867801506294,-93.40734741454617,373.86528554219694,2239.5819610778417,-267.0426851375378,3,2,13
25124,490,-335.62521831337654,-816.3637103234937,-157.78039428954617,-512.828317973428,-637.4805389221583,205.04837931558723,3,2,13
25125,494,-448.12131206337654,-558.1563128625564,-418.24523803954617,-345.48090586405306,-2020.5899139221583,218.99613322183723,3,2,13
25126,498,-51.312718313376536,34.701231082756294,-374.32336303954617,274.40019765157194,-135.4492889221583,-132.06050740316277,3,2,13
25127,502,238.54665668662346,157.6135845983813,-128.36535522704617,496.95634999532194,2281.9725860778417,-317.3341890437878,3,2,13
25128,506,-247.87521831337654,-733.1481341516187,-120.18469116454617,-386.33979258280306,-3.1211639221583027,145.05619181558723,3,2,13
25129,510,-517.0119370633765,-675.7488421594312,-429.42101928954617,-464.05683359842806,-2067.5117889221583,232.02689494058723,3,2,13
25130,516,-189.89474956337654,-119.9728411828687,-467.62023803954617,137.18266835469694,-615.7305389221583,-93.88374959066277,3,2,13
25131,520,133.08962543662346,159.1111431921313,-307.35754272704617,523.890432026572,2128.7225860778417,-406.1601167781628,3,2,13
25132,524,-345.68381206337654,-767.9945696984937,-406.64465210204617,-324.22431406717806,594.8632110778417,-89.21236287191277,3,2,13
25133,528,-641.2424058133765,-847.3655413781812,-581.6583239770462,-598.368357035928,-2055.2149139221583,175.92386759683723,3,2,13
25134,532,-199.86349956337654,-180.0766009484937,-398.91027710204617,47.23930897969694,-1047.2617889221583,18.858437909337226,3,2,13
25135,536,275.02321918662346,300.8657818640063,-161.17785522704617,571.745412495322,1830.5038360778417,-260.1808687312878,3,2,13
25136,540,4.945094186623464,-443.8942279016187,-23.289183352046166,-54.01410898905306,1266.9725860778417,18.456094159337226,3,2,13
25137,544,-526.1291245633765,-811.6250628625562,-333.48742553954617,-583.996286723428,-1838.2149139221583,315.9575590030872,3,2,13
