,time,ch1,ch2,ch3,ch4,ch5,ch6,tag,ID,Repeticion
37061,0,-462.66877183134056,-542.6510053623224,-349.6054784961325,-530.746086927707,-2355.185503992019,286.16857690868255,3,2,19
37062,3,-114.00080308134056,16.053340340802606,-400.6123144336325,52.76856150979302,-1273.8261289920192,-36.14367895069245,3,2,19
37063,7,309.56169691865944,415.1661333095526,-232.3037206836325,599.469733384793,1548.8144960079808,-350.18567113819245,3,2,19
37064,11,-14.805490581340564,-368.2625776279474,-108.43067380863249,-100.02806934958198,761.4707460079808,18.998166752432553,3,2,19
37065,15,-463.24689683134056,-607.8284955966974,-317.5537206836325,-533.137688490207,-2208.060503992019,310.48718042430755,3,2,19
37066,19,-190.87189683134056,-78.4276166904474,-398.3769628711325,4.980475572293017,-1652.2480039920192,25.189573002432553,3,2,19
37067,23,276.59294691865944,423.6373247158026,-270.8154394336325,565.003424791043,1144.8769960079808,-343.99426488819245,3,2,19
37068,27,117.22575941865944,-180.2174116123224,-95.06446287113249,90.74414744729302,1299.2676210079808,-97.61096410694245,3,2,19
37069,31,-433.05158433134056,-656.4437299716974,-281.2539159961325,-600.774163099582,-1938.6542539920192,311.80602808055755,3,2,19
37070,36,-271.53595933134056,-179.7703901279474,-424.3281347461325,-131.45458302145698,-1987.3417539920192,108.74035425243255,3,2,19
37071,35,201.17888441865944,376.9893754970526,-300.4316503711325,505.726569322293,646.9707460079808,-286.81848363819245,3,2,19
37072,39,211.61638441865944,-11.729862784197394,-113.12403318363249,253.04004588479302,1689.4707460079808,-198.99841527881745,3,2,19
37073,43,-386.73908433134056,-680.7623334873224,-222.1787206836325,-561.256340833957,-1533.3261289920192,306.12853784618255,3,2,19
37074,47,-341.56720933134056,-286.2318159091974,-412.5263769336325,-229.26586231833198,-2177.482378992019,159.05407495555755,3,2,19
37075,51,127.26091566865944,304.8377641689276,-336.9550878711325,415.291510728543,120.23637100798078,-238.15881566944245,3,2,19
37076,55,276.39372816865944,137.8480180751776,-135.0068456836325,420.879401353543,1915.6738710079808,-278.34704809131745,3,2,19
37077,59,-318.63361558134056,-662.7469526279474,-209.4384863086325,-512.395256849582,-1009.6073789920192,245.39880151805755,3,2,19
37078,63,-407.16877183134056,-384.0206342685724,-415.2529394336325,-350.032219740207,-2322.576128992019,205.70226831493255,3,2,19
37079,67,41.854665668659436,205.8196977626776,-362.8828222461325,287.774665025418,-399.3573789920192,-169.91882543506745,3,2,19
37080,71,322.34685316865944,280.3179887783026,-159.6611425586325,529.062018541043,1944.0488710079808,-331.03015356006745,3,2,19
37081,66,-210.60627183134056,-592.9200483310724,-142.7177831836325,-440.377922865207,-431.7948789920192,192.40295190868255,3,2,19
37082,70,-422.83674058134056,-455.1661420810724,-371.4882909961325,-416.394524427707,-2387.701128992019,263.99548120555755,3,2,19
37083,74,-45.875803081340564,118.8265337001776,-383.8037206836325,211.28711619729302,-879.3886289920192,-99.17566137256745,3,2,19
37084,78,333.25700941865944,365.5675004970526,-197.8379003711325,575.620612291043,1817.5801210079808,-373.09631566944245,3,2,19
37085,82,-99.02814683134056,-490.6160932529474,-117.70606443363249,-231.21044239645698,199.00199600798078,98.12316675243255,3,2,19
37086,86,-459.98517808134056,-545.6908002841974,-343.2802831836325,-508.059075208957,-2364.185503992019,301.85949487743255,3,2,19
37087,90,-125.28986558134056,11.828730965802606,-378.7744238086325,92.19702830666802,-1319.7636289920192,-32.09802465381745,3,2,19
37088,94,309.36247816865944,415.3673051845526,-231.0078222461325,611.360846666043,1531.3144960079808,-381.96985082569245,3,2,19
37089,98,9.065603168659436,-346.0450483310724,-107.31250974613249,-69.78612599020698,817.6269960079808,-16.004762935067447,3,2,19
37090,102,-455.40314683134056,-610.7789350498224,-313.1054784961325,-577.461174818332,-2197.044878992019,335.47643823680755,3,2,19
37091,102,-191.20392808134056,-84.9095502841974,-410.6484472461325,-43.05345997458198,-1677.9198789920192,52.88342065868255,3,2,19
37092,106,272.52654066865944,421.4022172939276,-280.4267675586325,555.325202134793,1111.0644960079808,-339.07678441944245,3,2,19
37093,110,124.24529066865944,-169.6673627841974,-104.04981443363249,103.05982127541802,1317.3144960079808,-111.49133520069245,3,2,19
37094,114,-440.94220933134056,-660.8917280185724,-272.0009863086325,-573.773186537082,-1902.9667539920192,310.71081323680755,3,2,19
37095,118,-272.18439683134056,-188.4205366123224,-402.7802831836325,-148.77709278708198,-1972.2480039920192,107.62267847118255,3,2,19
37096,122,203.68279066865944,376.1622270595526,-301.0800878711325,504.720709947293,600.4863710079808,-287.01965551319245,3,2,19
37097,126,212.78044691865944,-6.812626456072394,-123.11524412113249,262.897223619168,1713.9707460079808,-198.26086645069245,3,2,19
