,time,ch1,ch2,ch3,ch4,ch5,ch6,tag,ID,Repeticion
19479,0,-836.0792711452086,-775.3523797132298,-684.3535857971565,-392.3746471899949,-2412.348646457074,165.98320448945879,1,2,9
19480,3,-360.3878648952086,-184.30526057260477,-651.0713592346565,234.1224231225051,-745.7705214570742,-133.19501816679121,1,2,9
19481,7,16.284010104791378,21.509680833645234,-380.2354217346565,576.3275012475051,1751.7607285429258,-302.9564927761662,1,2,9
19482,11,-535.6495836452086,-830.6282586194798,-312.5772186096565,-259.6947155493699,-171.9892714570742,111.28838027070879,1,2,9
19483,15,-882.6573961452086,-861.0042351819798,-617.3653045471565,-467.5211315649949,-2421.223646457074,212.27373183320879,1,2,9
19484,19,-453.0792711452086,-296.93563166635477,-651.7422576721565,115.4571399193801,-1185.7861464570742,-70.38666855741621,1,2,9
19485,24,17.780103854791378,85.74845036489523,-411.9082732971565,562.3802356225051,1513.5576035429258,-310.5336412136662,1,2,9
19486,27,-397.7589586452086,-692.8521355726048,-269.8623748596565,-87.4298229712449,430.6513535429258,26.619923239458785,1,2,9
19487,31,-891.2863023952086,-928.8418816663548,-587.3692107971565,-489.6270885962449,-2307.770521457074,225.08134902070879,1,2,9
19488,35,-556.7941148952086,-403.08406916635477,-675.7705779846565,9.710802028755097,-1564.1923964570742,-11.467479104291215,1,2,9
19489,29,-17.579271145208622,102.02066716177023,-450.7774139221565,568.0125598412551,1164.8701035429258,-316.8815416042912,1,2,9
19490,33,-266.6652086452086,-534.2217644788548,-258.2393279846565,78.9788684350051,989.9169785429258,-59.277781838666215,1,2,9
19491,37,-876.1534898952086,-972.4278191663548,-520.5596404846565,-552.3014050024949,-2113.083021457074,254.07109511445879,1,2,9
19492,41,-644.3683336452086,-504.78450861947977,-687.6172576721565,-105.0653210181199,-1897.2861464570742,45.864796286333785,1,2,9
19493,45,-90.75895864520862,64.02262028677023,-509.5176482971565,526.3714465600051,690.1982285429258,-280.2248033230412,1,2,9
19494,49,-142.32536489520862,-351.20565119760477,-262.1963592346565,259.3128528100051,1423.1357285429258,-142.24750840116621,1,2,9
19495,53,-818.0402086452086,-982.5530633069798,-465.3281951721565,-546.5792370337449,-1754.1142714570742,250.04814589570879,1,2,9
19496,57,-716.6066148952086,-589.1177605726048,-678.0947967346565,-199.5460339087449,-2151.739271457074,95.37382948945879,1,2,9
19497,61,-180.41130239520862,4.924719896145234,-536.8545623596565,440.8314074975051,197.7919785429258,-233.80024277616621,1,2,9
19498,65,-54.70427114520862,-189.46834651010477,-273.2158904846565,416.6690539818801,1701.4169785429258,-222.44550644804121,1,2,9
19499,61,-748.3683336452086,-971.8689812757298,-401.3799529846565,-478.8087292212449,-1282.1455214570742,215.22392714570879,1,2,9
