,time,ch1,ch2,ch3,ch4,ch5,ch6,tag,ID,Repeticion
35558,0,-447.74978948353237,-479.85602427956564,-331.17480078904737,-489.10455943581564,-1801.5154378742445,280.91303477030306,3,2,18
35559,3,-58.71853948353237,122.50115345480936,-334.30468360154737,128.87639759543436,-637.0310628742445,-55.23491444844694,3,2,18
35560,7,343.83614801646763,445.95305775168436,-177.93163672654737,515.5614561891844,1776.1876871257555,-358.52568593282194,3,2,18
35561,12,-52.59353948353237,-415.86310435769064,-62.55175391404737,-231.85822154519064,668.1251871257555,47.35956797342806,3,2,18
35562,15,-464.89432073353237,-559.6294617795656,-278.96191016404737,-531.7964539670656,-1722.4841878742445,301.36469492655306,3,2,18
35563,19,-151.25369573353237,-2.668768420190645,-344.00487891404737,10.032159314184355,-995.8904378742445,11.708444926553057,3,2,18
35564,23,319.36349176646763,464.34856556418436,-211.92870703904737,538.8519835329344,1486.1564371257555,-360.98442616719694,3,2,18
35565,27,48.03536676646763,-269.32501842019064,-79.20409766404737,-26.065741076440645,1187.9845621257555,-72.46806874532194,3,2,18
35566,31,-461.49588323353237,-625.6565613889406,-254.97851172654737,-601.4890809201906,-1539.7498128742445,323.11323008280306,3,2,18
35567,35,-226.44510198353237,-101.64215709206564,-377.37597266404737,-120.25592662331564,-1302.2654378742445,92.51020273905306,3,2,18
35568,36,238.40255426646763,433.72673939230936,-229.69823828904737,477.09417103293436,1080.3439371257555,-319.32085194844694,3,2,18
35569,40,167.59396051646763,-90.26520396706564,-58.81933203904737,152.07756947043436,1593.2345621257555,-176.15776601094694,3,2,18
35570,44,-418.98416448353237,-662.4475770139406,-219.97558203904737,-587.7205262326906,-1240.0935628742445,288.95966562967806,3,2,18
35571,48,-310.95682073353237,-216.41852427956564,-381.44433203904737,-212.12164927956564,-1507.3748128742445,124.45063242655306,3,2,18
35572,52,169.07052301646763,377.44500111105936,-282.60448828904737,399.80217884543436,637.7345621257555,-266.59306874532194,3,2,18
35573,56,247.67989801646763,89.95696400168436,-65.41308203904737,273.93938587668436,1859.5158121257555,-232.59599843282194,3,2,18
35574,60,-348.73025823353237,-646.5108094358156,-149.54491797654737,-552.5835633420656,-858.3435628742445,286.83613047342806,3,2,18
35575,64,-365.38260198353237,-301.28790904519064,-375.85644141404737,-301.84161998269064,-1682.7810628742445,195.90937266092806,3,2,18
35576,68,96.98458551646763,303.97478626730936,-293.40038672654737,292.13372181418436,176.00018712575547,-189.94902577657194,3,2,18
35577,72,313.77364801646763,241.85930775168436,-95.34179297654737,423.18206165793436,1990.6408121257555,-301.03716054219694,3,2,18
35578,67,-275.39432073353237,-624.8294129514406,-125.04687110154737,-457.54376842019064,-375.4841878742445,201.96650156717806,3,2,18
35579,71,-414.53494573353237,-390.78449107644064,-351.11327735154737,-394.60138560769064,-1782.2966878742445,238.24335703592806,3,2,18
35580,75,14.886929266467632,208.48821400168436,-328.98437110154737,227.76067493918436,-257.1873128742445,-122.20073476094694,3,2,18
35581,79,336.95333551646763,357.84270618918436,-160.04980078904737,520.6132140016844,1963.5470621257555,-363.04082265157194,3,2,18
35582,83,-161.93728948353237,-538.0152039670656,-95.09569922654737,-364.53815318581564,156.46893712575547,137.97358164530306,3,2,18
35583,87,-443.88260198353237,-482.87360240456564,-313.74120703904737,-508.84113170144064,-1800.2029378742445,293.36274180155306,3,2,18
35584,91,-89.58572698353237,82.37981556418436,-358.60058203904737,101.45086048605936,-658.8123128742445,-54.69853749532194,3,2,18
35585,95,318.13302301646763,418.86296986105936,-191.20898047654737,539.2098936891844,1774.9845621257555,-370.81914296407194,3,2,18
35586,99,-52.32400823353237,-413.11383677956564,-73.68261328904737,-198.71076060769064,698.1251871257555,29.701608989053057,3,2,18
35587,103,-454.23025823353237,-558.8472352170656,-277.48632422654737,-547.6885438108156,-1723.3279378742445,300.69428477030306,3,2,18
35588,99,-164.26150823353237,-14.537420763940645,-361.10448828904737,14.748467907934355,-1009.8904378742445,13.921335551553057,3,2,18
35589,103,305.01192926646763,448.59075306418436,-228.80370703904737,543.0096983766844,1461.3595621257555,-351.73076405782194,3,2,18
35590,107,55.54317926646763,-267.24640513894064,-74.42089453904737,-37.979315295190645,1178.1251871257555,-65.42729726094694,3,2,18
35591,111,-459.46072698353237,-620.6497254514406,-244.11523047654737,-628.7134461545656,-1559.8904378742445,327.76215586405306,3,2,18
35592,115,-220.76932073353237,-95.78595592019064,-361.97558203904737,-127.83331920144064,-1301.9841878742445,81.22236094217806,3,2,18
35593,119,246.56271051646763,440.38762806418436,-242.01366797654737,485.90081165793436,1069.2033121257555,-313.86699452657194,3,2,18
35594,123,162.76583551646763,-85.70538951394064,-62.32812110154737,147.69671009543436,1597.7814371257555,-161.58452382344694,3,2,18
35595,127,-425.03885198353237,-654.4009461545656,-197.84667578904737,-613.7603211545656,-1250.1404378742445,317.36860117655306,3,2,18
35596,131,-298.66385198353237,-209.33283092019064,-358.46679297654737,-170.97223521706564,-1523.3279378742445,143.44965586405306,3,2,18
35597,135,185.32052301646763,383.72600697043436,-260.83398047654737,433.37444447043436,624.3126871257555,-257.78642812032194,3,2,18
35598,136,260.84396051646763,90.18035267355936,-86.73632422654737,297.72161243918436,1877.0626871257555,-246.63286366719694,3,2,18
35599,140,-342.29275823353237,-659.4971375608156,-173.68456641404737,-568.3638367795656,-844.7341878742445,266.36200937967806,3,2,18
35600,144,-370.16775823353237,-302.22687388894064,-361.01464453904737,-307.65314342019064,-1692.5154378742445,197.54096445780306,3,2,18
35601,148,89.45333551646763,295.30242298605936,-306.02929297654737,324.90129993918436,166.48456212575547,-199.96245351094694,3,2,18
