,time,ch1,ch2,ch3,ch4,ch5,ch6,tag,ID,Repeticion
18978,0,-524.4763285928129,-837.825669949164,-193.22081228168645,-545.176861121507,-2040.5790606287483,198.57991195343675,4,2,10
18979,3,-552.7028910928129,-522.3084580351015,-458.58116384418645,-340.72544510588205,-3058.6415606287483,81.52400375031175,4,2,10
18980,7,-83.20679734281293,102.35584860552353,-330.10264821918645,310.26918380036795,-410.37593562874827,-222.54923843718825,4,2,10
18981,11,174.19554640718707,115.65516501177353,-62.10557790668645,491.98891036286795,2000.9365643712517,-273.15348648406325,4,2,10
18982,15,-432.29664109281293,-785.142564480414,-143.13096853168645,-420.07407791838205,-1380.3603106287483,149.07112289093675,4,2,10
18983,19,-610.1950785928129,-617.3033310819765,-417.25206228168645,-403.82432205900705,-3205.6415606287483,131.36848617218675,4,2,10
18984,24,-176.97242234281293,-10.721788113226467,-362.84874196918645,227.14296309724295,-1002.6103106287483,-175.69987320281325,4,2,10
18985,27,177.57054640718707,205.08436423052353,-70.93467946918645,546.594134972243,1984.9990643712517,-320.15934585906325,4,2,10
18986,31,-326.17164109281293,-680.6258408476015,-86.00010915668645,-339.09360916838205,-629.1259356287483,96.07502914093675,4,2,10
18987,35,-644.0544535928129,-701.4576279569765,-416.44737478168645,-535.409038855882,-3300.1884356287483,189.28157210968675,4,2,10
18988,31,-253.81617234281293,-121.69810647260147,-404.57921071918645,116.34535567536795,-1594.4228106287483,-116.40080093718825,4,2,10
18989,35,184.27757765718707,279.02406149614853,-137.96788259418645,573.840717003493,1736.1709393712517,-336.31950210906325,4,2,10
18990,39,-195.45679734281293,-541.3074814726015,-26.23155446918645,-111.86582596525705,152.18656437125173,25.89045882843675,4,2,10
18991,43,-638.4450785928129,-767.752916042914,-353.21495290668645,-546.585064246507,-3161.1103106287483,195.42854476593675,4,2,10
18992,47,-346.35523484281293,-235.11094826947647,-449.01475759418645,-5.583355262132045,-2038.5009356287483,-91.54557632781325,4,2,10
18993,51,140.26585890718707,286.84705954302353,-187.81163259418645,577.953509972243,1334.0459393712517,-349.28361343718825,4,2,10
18994,55,-89.35132859281293,-378.67613381635147,-23.52647634418645,14.443744347242955,839.5303143712517,-41.50016617156325,4,2,10
18995,59,-642.7380473428129,-829.3096787382265,-314.76964040668645,-596.697613074632,-2941.1571856287483,221.26692367218675,4,2,10
18996,63,-421.05445359281293,-321.90269631635147,-436.34092946918645,-122.70640213713205,-2482.7821856287483,18.42488265656175,4,2,10
18997,67,88.54320265718707,267.57996969927353,-225.36241384418645,498.96278731599295,782.1709393712517,-301.11564468718825,4,2,10
18998,63,23.992421407187067,-199.16929787885147,6.983289280813551,217.21889083161795,1417.2959393712517,-147.38029312468825,4,2,10
18999,67,-579.4372660928129,-845.0676133085392,-243.44542165668645,-595.758892371507,-2545.2978106287483,192.54524398468675,4,2,10
19000,71,-489.89820359281293,-425.65953225385147,-444.11924978168645,-215.15317948088205,-2821.3290606287483,35.74763656281175,4,2,10
19001,75,11.676015157187067,196.79188376177353,-290.69737478168645,431.79555098786795,169.49906437125173,-258.71427749968825,4,2,10
19002,79,113.08617140718707,-27.373643581976467,-14.674913844186449,369.92592208161795,1832.6240643712517,-222.07975601531325,4,2,10
19003,83,-528.4528910928129,-833.5118271757265,-175.00401540668645,-510.33042557463205,-1991.3759356287483,198.62483382843675,4,2,10
19004,87,-555.2536723428129,-518.3746201444765,-448.54503103168645,-331.13657791838205,-3099.4696856287483,94.35383773468675,4,2,10
19005,91,-85.66382859281293,97.63954001177353,-332.18174978168645,301.14955489411795,-458.45406062874827,-216.40250992156325,4,2,10
19006,95,167.13304640718707,111.20716696489853,-54.79698415668645,484.21034590974295,2018.2490643712517,-286.92228531218825,4,2,10
19007,99,-419.46460984281293,-769.5187851835392,-137.05089040668645,-425.81846268400705,-1338.1571856287483,133.22346664093675,4,2,10
19008,94,-596.4255473428129,-608.5413681913515,-438.91124196918645,-427.51719315275705,-3219.1571856287483,138.78889632843675,4,2,10
19009,98,-176.10132859281293,-8.195909206976467,-359.13780446918645,192.00600020661795,-1064.0165606287483,-151.49308609343825,4,2,10
19010,102,192.03148390718707,227.21253805864853,-83.07139821918645,525.851947472243,1922.8584393712517,-311.62077164031325,4,2,10
19011,106,-310.23414109281293,-662.9456650663515,-84.00987478168645,-283.79551346525705,-562.4853106287483,90.28572250031175,4,2,10
19012,110,-633.2146098428129,-701.8152939726015,-397.69444509418645,-497.09824784025705,-3249.9853106287483,180.22932601593675,4,2,10
19013,114,-265.75367234281293,-126.10142678510147,-400.77940603168645,89.88100020661795,-1609.3290606287483,-115.10441421843825,4,2,10
19014,118,176.51976515718707,275.60413962114853,-121.69542165668645,570.488177940993,1697.5928143712517,-348.88126968718825,4,2,10
19015,122,-192.79664109281293,-541.6873642851015,-37.96592946918645,-208.91709549650705,186.45218937125173,-10.34171890593825,4,2,10
19016,126,-638.8708598428129,-766.9258896757265,-347.15733571918645,-525.216656043382,-3161.5790606287483,198.55745101593675,4,2,10
19017,130,-344.38648484281293,-224.24791116010147,-421.63389821918645,24.434955284742955,-2100.2978106287483,-23.19401382781325,4,2,10
19018,144,142.54710890718707,299.56532126177353,-180.27940603168645,563.738177940993,1268.8896893712517,-309.63151382781325,4,2,10
19019,148,-70.71070359281293,-356.90562600385147,-10.472765406686449,64.73524825349295,908.7490643712517,-68.32218765593825,4,2,10
19020,152,-619.3357035928129,-817.329087917914,-295.30186696918645,-580.403179480882,-2914.0165606287483,229.38069320343675,4,2,10
19021,156,-421.54664109281293,-334.71031350385147,-447.13682790668645,-130.37315018400705,-2538.5321856287483,-3.368086093438251,4,2,10
19022,160,69.43382765718707,248.04432516802353,-233.45421071918645,499.85683028474295,707.5459393712517,-323.91422867156325,4,2,10
19023,164,34.96898390718707,-184.88658303510147,-18.40831228168645,247.72890059724295,1462.4678143712517,-160.56779312468825,4,2,10
19024,168,-578.3200785928129,-847.124009792914,-256.45421071918645,-566.053325965257,-2503.0634356287483,218.60725570343675,4,2,10
19025,172,-504.08960984281293,-436.85777444135147,-450.53428884418645,-242.78013260588205,-2848.8134356287483,51.88557601593675,4,2,10
19026,176,6.3557026571870665,199.27284079302353,-278.20225759418645,408.10267989411795,96.73343937125173,-251.87467789031325,4,2,10
19027,180,122.36351515718707,-0.4847275663514665,-3.476671656686449,353.89979903474295,1816.4834393712517,-221.49870132781325,4,2,10
19028,175,-514.9294535928129,-831.969468777289,-187.72276540668645,-526.826031043382,-1949.6728106287483,201.06086898468675,4,2,10
19029,179,-550.7146098428129,-530.4891220976015,-452.25499196918645,-326.30845291838205,-3082.8915606287483,109.17317367218675,4,2,10
19030,183,-84.94898484281293,90.86707907427353,-330.32628103168645,300.99330489411795,-514.6728106287483,-211.75333999968825,4,2,10
19031,187,167.44554640718707,126.00379782427353,-48.26964040668645,460.24940840974295,2003.3584393712517,-302.56852554656325,4,2,10
19032,191,-407.53101609281293,-752.9113633085392,-135.93370290668645,-416.56480057463205,-1257.3446856287483,130.09407210968675,4,2,10
19033,195,-599.0388285928129,-607.4461533476015,-431.51280446918645,-415.93906815275705,-3241.1415606287483,155.73176742218675,4,2,10
19034,199,-173.95289109281293,-17.829454128851467,-365.59776540668645,187.33461348786795,-1132.1415606287483,-152.20817398406325,4,2,10
19035,203,191.38304640718707,228.26307516802353,-75.11436696918645,540.537006065993,1961.0459393712517,-322.21549820281325,4,2,10
19036,207,-291.97242234281293,-656.1729599882265,-46.48155446918645,-262.36021073088205,-485.71968562874827,79.80281234406175,4,2,10
19037,211,-626.6442973428129,-701.5469834257265,-380.75206228168645,-469.73960526213205,-3260.2196856287483,187.85139632843675,4,2,10
19038,218,-266.15601609281293,-122.32408303510147,-396.88975759418645,91.78090255036795,-1677.4540606287483,-87.32121109343825,4,2,10
19039,222,177.14476515718707,287.29408102739853,-129.22764821918645,579.495990440993,1660.4209393712517,-321.76847671843825,4,2,10
19040,226,-174.89429734281293,-514.1277939726015,-31.88585134418645,-100.93589432463205,261.60843937125173,-3.636152499688251,4,2,10
19041,230,-638.1325785928129,-783.0191513944765,-354.73448415668645,-568.131939246507,-3146.0009356287483,173.59065414093675,4,2,10
19042,234,-353.70679734281293,-246.19737405072647,-450.17686696918645,-15.060406043382045,-2139.2821856287483,-65.66227554656325,4,2,10
19043,238,146.79320265718707,298.20179587114853,-198.51866384418645,519.146381065993,1214.0303143712517,-299.70744156218825,4,2,10
19044,242,-52.53882859281293,-328.87632912885147,2.267468968313551,36.236713097242955,924.9209393712517,-50.97721695281325,4,2,10
19045,246,-616.8083598428129,-816.0997178007265,-291.12120290668645,-544.595562293382,-2888.0165606287483,213.66731429718675,4,2,10
19046,250,-428.22632859281293,-339.91807717572647,-442.04014821918645,-131.37900955900705,-2537.7196856287483,12.36775375031175,4,2,10
19047,254,70.95335890718707,256.69447165239853,-241.85850759418645,481.81874434724295,672.7959393712517,-292.17497085906325,4,2,10
19048,247,48.60179640718707,-161.73008889447647,-1.6221794691864488,238.05067794099295,1492.8271893712517,-157.14787124968825,4,2,10
19049,251,-566.6950785928129,-840.1055771757265,-233.38682790668645,-541.622906043382,-2464.4071856287483,208.39241195343675,4,2,10
19050,255,-494.56617234281293,-439.22691506635147,-450.95909353168645,-220.36118729338205,-2863.1415606287483,8.47834945343675,4,2,10
19051,259,7.0041401571870665,191.15931540239853,-290.83116384418645,395.09413497224295,65.98343937125173,-244.87858414031325,4,2,10
19052,263,127.66039015718707,7.5396864961485335,-12.775499781686449,349.09413497224295,1867.9834393712517,-197.64933609343825,4,2,10
19053,267,-497.92164109281293,-811.2941758085392,-159.62608571918645,-518.287700965257,-1896.7665606287483,196.72493148468675,4,2,10
19054,271,-554.1794535928129,-528.4551865507265,-439.91710134418645,-363.38999588713205,-3140.0165606287483,105.10505843781175,4,2,10
19055,275,-96.61695359281293,85.70374899614853,-335.51182790668645,291.15834395661795,-582.3915606287483,-211.10514664031325,4,2,10
19056,279,181.30492140718707,152.91541891802353,-47.42100759418645,532.557025597243,1999.0928143712517,-284.95524429656325,4,2,10
19057,283,-387.23414109281293,-746.6529404569765,-98.58409353168645,-387.66416580900705,-1207.0165606287483,150.32258773468675,4,2,10
19058,290,-591.6872660928129,-617.0799424101015,-417.78917165668645,-422.33164627775705,-3240.7353106287483,150.52375960968675,4,2,10
19059,294,-174.26929734281293,-12.733262722601467,-367.16221853168645,188.47450606599295,-1157.4853106287483,-166.44621109343825,4,2,10
19060,298,190.57835890718707,233.44886618364853,-95.63292165668645,553.120990440993,1915.2334393712517,-321.09806656218825,4,2,10
19061,302,-282.04664109281293,-642.6055771757265,-67.69346853168645,-251.92197830900705,-457.93843562874827,80.58528304718675,4,2,10
19062,306,-633.4411723428129,-716.7686631132265,-399.86241384418645,-527.652935340257,-3266.5478106287483,161.27473617218675,4,2,10
19063,310,-257.46070359281293,-130.97398537885147,-407.77549978168645,81.14149825349295,-1697.1884356287483,-106.78947281218825,4,2,10
19064,314,177.30492140718707,299.58753805864853,-141.00694509418645,572.454974815993,1633.4365643712517,-322.75211929656325,4,2,10
19065,318,-167.60523484281293,-498.25792092572647,-2.628038844186449,-100.28770096525705,307.04593937125173,16.16755843781175,4,2,10
19066,322,-626.0857035928129,-772.9832627226015,-323.53135915668645,-553.961040809007,-3138.9853106287483,204.43635726593675,4,2,10
19067,326,-346.98023484281293,-225.03013772260147,-416.82823415668645,-41.055523230882045,-2186.9228106287483,-20.04240249968825,4,2,10
19068,319,140.37914015718707,301.66639548052353,-188.28135915668645,538.614642784743,1197.7803143712517,-302.99308609343825,4,2,10
19069,323,-39.26148484281293,-320.74034280072647,1.6639533433135512,87.98109786286795,1030.8896893712517,-86.60587906218825,4,2,10
19070,327,-606.7067973428129,-818.8937851835392,-290.78624196918645,-625.486675574632,-2879.9384356287483,211.99104476593675,4,2,10
19071,331,-432.36304734281293,-354.26793069135147,-455.36241384418645,-179.47983963713205,-2628.9071856287483,-0.2611524996882508,4,2,10
19072,335,71.06664015718707,258.21449118364853,-239.84678884418645,522.007220909743,628.4053143712517,-291.21378921843825,4,2,10
19073,339,55.82054640718707,-134.50572366010147,8.995008030813551,276.07094161286795,1543.4521893712517,-153.37052749968825,4,2,10
19074,343,-557.8005473428129,-829.6448838163515,-221.20518728168645,-583.934673621507,-2425.7821856287483,226.40803695343675,4,2,10
19075,347,-489.69507859281293,-438.19883889447647,-436.34092946918645,-213.81211502775705,-2889.8603106287483,63.73201156281175,4,2,10
19076,351,-6.2497660928129335,179.87171774614853,-287.29991384418645,408.08046309724295,3.170939371251734,-246.84562515593825,4,2,10
19077,355,137.29320265718707,19.117811496148533,-24.01866384418645,408.05800215974295,1886.9053143712517,-237.94962906218825,4,2,10
